name,url_slug,url,img_url,pdf_url,website,tags,meal_type,address,latitude,longitude
Riverpark,riverpark,https://www.nyctourism.com/restaurant-week/riverpark,http://images.ctfassets.net/1aemqu6a6t65/5chjrjy8X94yv4ERx3xJvv/a6b25f13b50f95926e5e688bdbb7228f/victoria-segal---1_24_13-cauliflower-soup,https://assets.ctfassets.net/1aemqu6a6t65/q6E5j4yRstJppHgH6sNEK/a7308a410f5dfac7e31bc1d2d67ce4eb/Riverpark_Restaurant_Week_Summer_2023_Menu.pdf,https://www.riverparknyc.com,Restaurants; Kips Bay; Manhattan; New York City; Mastercard Offer; Large Print; Wheelchair Accessible; American (New); Vegetarian Options; Gluten-Free; Free WiFi; Internet; $$$; Maritime/Waterfront; Member Organization; Private Function Room(s); Luxury,Dinner_Price_60,"Alexandria Center, 450 E. 29th St.,Manhattan,10016,NY",40.7396,-73.9739
Industry Kitchen,industry-kitchen,https://www.nyctourism.com/restaurant-week/industry-kitchen,http://images.ctfassets.net/1aemqu6a6t65/6FzOkiZTXLxpZbxUw7NNJU/995d8bdc49579b2ecf7e158cf07e67aa/industry-kitchen-courtesy-industry-kitchen,https://assets.ctfassets.net/1aemqu6a6t65/4Z222dcc9tOVNE9TQnct4L/68db5953862f6f9823f8193289d38a09/Induskit_Restaurant_Week_Summer_2023-14-.pdf,https://www.industry-kitchen.com,Restaurants; Lower Manhattan; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; American (New); Vegetarian Options; Vegan Options; Gluten-Free; $$$$; Member Organization; Outdoor Dining,Lunch_Price_45; Dinner_Price_60; Sunday_Dinner_Price_45,"70 South St.,Manhattan,10038,NY",40.7031277,-74.0083191
Philippe by Philippe Chow Downtown,philippe-by-philippe-chow-downtown,https://www.nyctourism.com/restaurant-week/philippe-by-philippe-chow-downtown,http://images.ctfassets.net/1aemqu6a6t65/4wWLgC5583jEaCl2qMIdox/15d251dbfc08c67d0eb8dff123802658/philippe-chow-downtown-chelsea-manhattan-nyc-philippe-chow-nyc-downtown---private-dining---6016,https://assets.ctfassets.net/1aemqu6a6t65/5nxNf0lU8Mu08saJgvoCv2/c939c4824b14f228d55d09a33b4b19dc/Philippe_NYC_Summer_Restaurant_Week_2023_8.5x11_-_UES-29-.pdf,https://philippechow.com,Restaurants; Chelsea; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Chinese; Vegetarian Options; Vegan Options; Gluten-Free; Free WiFi; Internet; $$$$; Live Music; DJs; Member Organization; Private Function Room(s); Outdoor Dining,Dinner_Price_45; Sunday_Dinner_Price_45,"Dream Downtown, 355 W. 16th St.,Manhattan,10011,NY",40.7423311,-74.0034791
Versa,versa,https://www.nyctourism.com/restaurant-week/versa,http://images.ctfassets.net/1aemqu6a6t65/5zb3q2luLYUeP6aTEQXdtn/e7605ea25ce63efecbd8a05347dcb89b/patio_west,https://assets.ctfassets.net/1aemqu6a6t65/71Dhbw3pSmqpNrmTVZW7o6/23706c418c7e049abba97c0fed48cc04/VERSA_Restaurant_Week_Menu__5_.pdf,https://versanyc.com,Restaurants; Garment District; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; American (New); $$$$; Member Organization,Lunch_Price_30; Dinner_Price_45,"218 W. 35th St.,Manhattan,10001,NY",40.7518063,-73.9910432
Sagaponack,sagaponack,https://www.nyctourism.com/restaurant-week/sagaponack,http://images.ctfassets.net/1aemqu6a6t65/6mhnn58sOjCehffjuF08jf/04ca3d9d91e2a4d37ef2b8cf85f0b146/sagaponack-manhattan-courtesy-sagaponack,https://assets.ctfassets.net/1aemqu6a6t65/4PevwSAZXPo1Zv1SFVCLk3/5522b92c3e3647d89932ca01efd59e36/06.14.23_Restaurant_week__send_copy_.pdf,https://www.saganewyork.com,Restaurants; Flatiron District; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Asian American Owned; Seafood; $$$$,Lunch_Price_30; Dinner_Price_45; Sunday_LunchBrunch_Price_30; Sunday_Dinner_45,"4 W. 22nd St.,Manhattan,10010,NY",40.7409362,-73.9907851
5 Napkin Burger - Upper West Side,5-napkin-burger-upper-west-side,https://www.nyctourism.com/restaurant-week/5-napkin-burger-upper-west-side,http://images.ctfassets.net/1aemqu6a6t65/7gjCWZ38vBBC6oyVmZh1bD/6590a6a940e7b74a876ab6c007b86341/rw-to-go_5_napkin_burger_-_upper_west_side,https://assets.ctfassets.net/1aemqu6a6t65/2AUZakG2QnYUQT22lwKHDc/7bd264231f0df8246b2d6bf558c05b1e/RW_5_Napkin_Burger_Summer_2023.pdf,https://5napkinburger.com/locations/upper-west-side,Restaurants; Upper West Side; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; American (Traditional); Vegetarian Options; Vegan Options; Gluten-Free; Burgers; $$$; Member Organization; Outdoor Dining,Lunch_Price_30; Dinner_Price_30; Sunday_LunchBrunch_Price_30; Sunday_Dinner_30,"2315 Broadway,Manhattan,10024,NY",40.7870473,-73.9781361
5 Napkin Burger - Hell's Kitchen,five-napkin-burger-hells-kitchen,https://www.nyctourism.com/restaurant-week/five-napkin-burger-hells-kitchen,http://images.ctfassets.net/1aemqu6a6t65/jYJ2WlW39WwsAQK3NFpIQ/462fae31400913530738a08fc30b7031/rw-to-go_5-napkin-burger---hell-s-kitchen_b02793ff-5056-a36f-23d00a3e6a95debf-b02792965056a36_b027945f-5056-a36f-231616ab0fdf0bb,https://assets.ctfassets.net/1aemqu6a6t65/6DWULdeAkLUoPRxP56a4x/7f4abb749fcdbc3580d5a99e6af35ac1/RW_5_Napkin_Burger_Summer_2023.pdf,https://5napkinburger.com/locations/hells-kitchen,Restaurants; Hells Kitchen; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; American (Traditional); Vegetarian Options; Vegan Options; Gluten-Free; Burgers; $$; $$$; Member Organization; Outdoor Dining,Lunch_Price_30; Dinner_Price_30; Sunday_LunchBrunch_Price_30; Sunday_Dinner_30,"630 Ninth Ave.,Manhattan,10036,NY",40.759987,-73.9912338
Pappardella,pappardella,https://www.nyctourism.com/restaurant-week/pappardella,http://images.ctfassets.net/1aemqu6a6t65/EHV5SXlKWNXSduOxa0UA6/e5377978889f6be252cf9dd899c3fe2d/rw-to-go_pappardella,https://assets.ctfassets.net/1aemqu6a6t65/67FbKkQtUzViXtf8WweYSb/41948fd3c4cab873abba10aa90dea517/Restaurant_week_summer_2023.pdf,https://www.pappardella.com,Restaurants; Upper West Side; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Woman Owned; Italian; Vegetarian Options; Vegan Options; Gluten-Free; $$$; Outdoor Dining,Lunch_Price_30; Dinner_Price_60,"316 Columbus Ave.,Manhattan,10023,NY",40.779347,-73.9776056
UN Plaza Grill,un-plaza-grill,https://www.nyctourism.com/restaurant-week/un-plaza-grill,http://images.ctfassets.net/1aemqu6a6t65/ewZsCb592rLbmaJtdGkOG/ef83eb471ee311fcdb9e9400afab37b5/rw-to-go_un-plaza-grill_1be14e23-5056-a36f-23c2faa301e74d21-1be14d225056a36_1be14e7b-5056-a36f-23bc019bb79e0e98,https://assets.ctfassets.net/1aemqu6a6t65/5hIjc8DZHufRTGXCAgoO7P/be2207902c23f52fd099ae773b5a37ba/UN_Plaza_Grill_RW_Summer_2023.pdf,http://unplazagrill.com,Restaurants; Midtown East; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; American (New); Kosher; Vegetarian Options; $$$$$; Member Organization; Outdoor Dining,Dinner_Price_60; Sunday_Dinner_Price_60,"845 United Nations Plaza,Manhattan,10017,NY",40.7525229,-73.9676966
Boucherie West Village,boucherie-west-village,https://www.nyctourism.com/restaurant-week/boucherie-west-village,http://images.ctfassets.net/1aemqu6a6t65/5gRE0cHlHQj0kSdFhkisTe/060c17eab4ad290dce736bfdad5366af/Boucherie-West-Village-Manhattan-NYC-Photo-Melissa-Hom-and-Francesco-Sapienza-2.jpg,https://assets.ctfassets.net/1aemqu6a6t65/10DMukc2EZX8ufCxznhEW8/d6c3a233d4105520293fef9f73aa6540/PDFsam_merge.pdf,https://boucherie.nyc,Restaurants; West Village; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; French; $$$$; Member Organization; Outdoor Dining,Lunch_Price_45; Dinner_Price_60,"99 Seventh Ave. South,Manhattan,10014,NY",40.7330828,-74.0028776
Boucherie Union Square,boucherie-union-square,https://www.nyctourism.com/restaurant-week/boucherie-union-square,http://images.ctfassets.net/1aemqu6a6t65/1YRfBxtBGDY6QmLOJXQtkn/e403a0ece589be8b904a9e1685e31825/Boucherie-Union-Square-Manhattan-NYC-Photo-Melissa-Hom-and-Francesco-Sapienza.jpg,https://assets.ctfassets.net/1aemqu6a6t65/4EXDUs62f6oBvDKvCb5JA8/ce62bcd2b381f10626e5b75f603a3256/PDFsam_merge.pdf,https://boucherie.nyc,Restaurants; Gramercy; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; French; $$$$; Member Organization; Gift Cards Available; Outdoor Dining,Lunch_Price_45; Dinner_Price_60,"225 Park Ave. South,Manhattan,10003,NY",40.7371329,-73.9879502
Redeye Grill,redeye-grill,https://www.nyctourism.com/restaurant-week/redeye-grill,http://images.ctfassets.net/1aemqu6a6t65/79jnT5poL6pZUvNk8u4RFm/9d793df96e94b9e53e7cd2aec1524863/redeyegrill2philkline-2,https://assets.ctfassets.net/1aemqu6a6t65/23ic3KD8wJemqp3ghFQRNv/f69981696e32411a47fff688ad24f21d/PDFsam_merge.pdf,https://www.redeyegrill.com,Restaurants; Midtown West; Manhattan; New York City; Wheelchair Accessible; American (New); Seafood; Vegetarian Options; Vegan Options; Gluten-Free; Free WiFi; Internet; $$$; Member Organization; Private Function Room(s); Outdoor Dining,Lunch_Price_30; Dinner_Price_45; Sunday_LunchBrunch_Price_30; Sunday_Dinner_45,"890 Seventh Ave.,Manhattan,10019,NY",40.7651937,-73.9806837
Bond 45,bond-45,https://www.nyctourism.com/restaurant-week/bond-45,http://images.ctfassets.net/1aemqu6a6t65/eCkeaCs6fUIOvhvpVZTVe/8f001a9efaa902e6cb1bfc9a8821f64a/bond45_restaurant_timessquare_theatredistrict_manhattan_nyc_photo_lizclayman,https://assets.ctfassets.net/1aemqu6a6t65/2gMder9U7Ha3xA7we5d575/acf7ed98fa7610afe39d927d4a9edb8a/BONDrestaurant_week_menusSUMMER23.pdf,https://www.bond45ny.com,Restaurants; Times Square/Theatre District; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Italian; Steakhouse; Seafood; Vegetarian Options; Vegan Options; Gluten-Free; Free WiFi; Internet; $$$; Member Organization,Lunch_Price_45; Sunday_LunchBrunch_Price_45,"221 W. 46th St.,Manhattan,10036,NY",40.7593741,-73.9861745
Trattoria Dell'Arte,trattoria-dellarte,https://www.nyctourism.com/restaurant-week/trattoria-dellarte,http://images.ctfassets.net/1aemqu6a6t65/6gOMwDaqHl0nPNaozTpbMv/6e44424bc1fea6cd1861b84280c914ad/trattoriadellarte2philkline,https://assets.ctfassets.net/1aemqu6a6t65/4MAaHnS2duCg7xEd3GDGfZ/7aebc35f8712cd51a7e69d2a4fbc5729/PDFsam_merge.pdf,https://www.trattoriadellarte.com,Restaurants; Midtown West; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Italian; Vegetarian Options; Vegan Options; Gluten-Free; Free WiFi; Internet; $$$$; Member Organization,Lunch_Price_30; Dinner_Price_45; Sunday_LunchBrunch_Price_30; Sunday_Dinner_45,"900 Seventh Ave.,Manhattan,10019,NY",40.7654454,-73.9805358
Rabbit House Omakase & Sake Bar,rabbit-house-omakase-sake-bar,https://www.nyctourism.com/restaurant-week/rabbit-house-omakase-sake-bar,http://images.ctfassets.net/1aemqu6a6t65/6gOMwDaqHl0nPNaozTpbMv/6e44424bc1fea6cd1861b84280c914ad/trattoriadellarte2philkline,https://assets.ctfassets.net/1aemqu6a6t65/7Bh2cDZuexj7mWuc0ykd60/bc73027017f3a8d033e7a7b20df00378/menu_2306NYRW60.pdf,https://rabbithouse.nyc,Restaurants; Lower East Side; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Woman Owned; Japanese / Sushi; Vegetarian Options; Vegan Options; Gluten-Free; $$$$; Bar; Sake,Dinner_Price_60; Sunday_Dinner_Price_60,"41 Essex St.,Manhattan,10002,NY",40.7162743,-73.989636
Grace Street Cafe,grace-street-cafe,https://www.nyctourism.com/restaurant-week/grace-street-cafe,http://images.ctfassets.net/1aemqu6a6t65/4CAjwq9ApihMnJ5D35vDA6/79ef4531242c0c93c1390e69168ac248/rw-to-go_grace-street-cafe_0e3a570b-5056-a36f-2384a98e8fe2935a-0e3a55cc5056a36_0e3a576b-5056-a36f-23baef184f7d8c08,https://assets.ctfassets.net/1aemqu6a6t65/65NCPu4sYaCc6OZpamrhq/805060155c8c1f4e16f9bdc6bbe59b0f/Grace_Street_for_NYC_Restaurant_Week_2023_.pdf,https://www.bygracestreet.com,Restaurants; Koreatown; Manhattan; New York City; Mastercard Offer; Large Print; Braille; Wheelchair Accessible; Asian American Owned; Dessert; Coffeehouse; Vegetarian Options; Vegan Options; Gluten-Free; $; Member Organization; Outdoor Dining,Lunch_Price_45,"17 W. 32nd St.,Manhattan,10001,NY",40.747819,-73.9865153
Pera Mediterranean Brasserie,pera-mediterranean-brasserie,https://www.nyctourism.com/restaurant-week/pera-mediterranean-brasserie,http://images.ctfassets.net/1aemqu6a6t65/7qnKICviIjrT1dUXBrlepp/7a5ecde47b79ec70ceb111f85215eac5/pera-octopus,https://assets.ctfassets.net/1aemqu6a6t65/46WLpxo7chj6XipOUulybe/842eba227137de7832302b5157712356/Pera_Med_RW_Summer_FINAL_2023_Dinner.pdf,https://www.peranyc.com,Restaurants; Murray Hill; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Mediterranean; Greek; Turkish; Vegetarian Options; Internet; $$$; Live Music; Member Organization; Private Function Room(s); Outdoor Dining,Dinner_Price_60,"303 Madison Ave.,Manhattan,10017,NY",40.752316,-73.9794252
Pera SoHo,pera-soho,https://www.nyctourism.com/restaurant-week/pera-soho,http://images.ctfassets.net/1aemqu6a6t65/6UCofIbPE7ZX5MHJUoyEJ0/d58d6c31844673df4c5a35aa620adb88/rw-to-go_pera-soho_e0865dfc-5056-a36f-23dad3d858a39972-e0865cca5056a36_e0865e52-5056-a36f-23e5b94f84c3a8bc,https://assets.ctfassets.net/1aemqu6a6t65/3kyIInDe58vjMmxjzf8Hvv/0ea889ab137a1901477960519f6bccb8/PDFsam_merge.pdf,https://www.pera-soho.com,Restaurants; Soho; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Mediterranean; Middle Eastern; Vegetarian Options; Internet; $$$; Member Organization; Private Function Room(s); Outdoor Dining,Lunch_Price_45; Sunday_LunchBrunch_Price_45; Dinner_Price_60; Sunday_Dinner_Price_60,"54 Thompson St.,Manhattan,10012,NY",40.7237889,-74.0032322
As You Are,as-you-are,https://www.nyctourism.com/restaurant-week/as-you-are,http://images.ctfassets.net/1aemqu6a6t65/4Wcj32CQOd0s9jkqm15ugh/328dd72cb8ab21772b4d9e691fc61dc8/as-you-are-photo-erica-schroeder-ee632870,https://assets.ctfassets.net/1aemqu6a6t65/7BM2Wdn8FD0FjsByg1z2F8/752712ef68b7ac8821dfe29f84979fb3/RW_Summer_2023_Dinner__1_.pdf,https://acehotel.com/brooklyn/eat-drink/as-you-are,Restaurants; Boerum Hill; Brooklyn; New York City; Mastercard Offer; Large Print; Wheelchair Accessible; American (New); $$$$,Lunch_Price_30; Dinner_Price_60,"252 Schermerhorn St.,Brooklyn,11217,NY",40.6878222,-73.9837428
Romeo's Italian Restaurant,romeos-italian-restaurant,https://www.nyctourism.com/restaurant-week/romeos-italian-restaurant,http://images.ctfassets.net/1aemqu6a6t65/4Wcj32CQOd0s9jkqm15ugh/328dd72cb8ab21772b4d9e691fc61dc8/as-you-are-photo-erica-schroeder-ee632870,https://assets.ctfassets.net/1aemqu6a6t65/3jJ1S5k8MP04HqlSAP94C/dc788b9414b76f5c5f91ed524f5fd51c/Romeos.pdf,https://romeositalianrestaurant.com,Restaurants; Jackson Heights; Queens; New York City; Mastercard Offer; Wheelchair Accessible; Woman Owned; Italian; $$$$,Lunch_Price_30; Dinner_Price_45; Sunday_LunchBrunch_Price_30; Sunday_Dinner_45,"74-27 37th Ave.,Queens,11372,NY",40.749183,-73.8910294
Chez Nick,chez-nick,https://www.nyctourism.com/restaurant-week/chez-nick,http://images.ctfassets.net/1aemqu6a6t65/4fqQet1BLDhBcabhViwok5/ce743c5268d0a8ab1a502b76c61f2225/rw-to-go_chez_nick,https://assets.ctfassets.net/1aemqu6a6t65/3Jj8QqPpZ11ZvaGYKSFQgG/fb23fa495f64472593b44db748a4f288/Screen_Shot_2023-07-24_at_12.27.47_AM.pdf,https://www.cheznicknyc.com,Restaurants; Upper East Side; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; American (New); $$$; Member Organization; Outdoor Dining,Dinner_Price_45; Sunday_Dinner_Price_45,"1737 York Ave.,Manhattan,10128,NY",40.7790105,-73.9452127
Terravita,terravita,https://www.nyctourism.com/restaurant-week/terravita,http://images.ctfassets.net/1aemqu6a6t65/kazWW8KsOL4IP2aQRimBI/448fecb10c7784155a9a5c9ae82d5520/210507_nycgo-theheights-venues_josealvaradojr_04,,https://www.terravitarestaurant.com,Restaurants; Washington Heights; Manhattan; New York City; Mastercard Offer; Large Print; Wheelchair Accessible; Woman Owned; Latino Owned; American (New); Vegetarian Options; Vegan Options; Gluten-Free; $$$$; Fusion; Outdoor Dining,Lunch_Price_30; Dinner_Price_60; Sunday_Dinner_Price_60,"4193 Broadway,Manhattan,10033,NY",40.8481047,-73.9380714
Les Trois Chevaux,les-trois-chevaux,https://www.nyctourism.com/restaurant-week/les-trois-chevaux,http://images.ctfassets.net/1aemqu6a6t65/7lAaqyTgUv9EtLbYMKpBnL/df1abd4714c086cfeba34674f3e36b23/Les-Trois-Cheveux-Manhattan-NYC-Photo-William-Hereford-_4.jpg,,https://lestroischevauxnyc.com,Restaurants; West Village; Manhattan; New York City; Large Print; Wheelchair Accessible; Asian American Owned; French; $$$$$,Dinner_Price_60,"283 W. 12th St.,Manhattan,10014,NY",40.737684,-74.0040136
Home BX Steakhouse,home-bx-steakhouse,https://www.nyctourism.com/restaurant-week/home-bx-steakhouse,http://images.ctfassets.net/1aemqu6a6t65/7lAaqyTgUv9EtLbYMKpBnL/df1abd4714c086cfeba34674f3e36b23/Les-Trois-Cheveux-Manhattan-NYC-Photo-William-Hereford-_4.jpg,,https://www.homebxsteak.com,Restaurants; Kingsbridge; The Bronx; New York City; Mastercard Offer; Wheelchair Accessible; Steakhouse; $$$$,Sunday_Dinner_Price_60; Dinner_Price_60,"224 W. 238th St.,Bronx,10463,NY",40.8847613,-73.899943
The Long Room,the-long-room,https://www.nyctourism.com/restaurant-week/the-long-room,http://images.ctfassets.net/1aemqu6a6t65/70XbGURMG60mcYwfEJQ4SS/0ea82db55ea882ceda043cad1b52f814/the_long_room,https://assets.ctfassets.net/1aemqu6a6t65/5UQaOhPnVYTDr4ZJUThtsW/4fa6b9abb81c714675d70ef026b76859/TheLongRoom_2023_Sum_RW.pdf,https://www.thelongroomnyc.com,Restaurants; Times Square/Theatre District; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Woman Owned; Irish; Vegetarian Options; Vegan Options; Gluten-Free; $$$$; Gastropub; Pub,Lunch_Price_30; Dinner_Price_45; Sunday_LunchBrunch_Price_30; Sunday_Dinner_45,"120 W. 44th St.,Manhattan,10036,NY",40.7564107,-73.9843398
Gupshup,gupshup,https://www.nyctourism.com/restaurant-week/gupshup,http://images.ctfassets.net/1aemqu6a6t65/656YuB5nbUaKAkGFPLBrs0/78855e223a49c5f87409a52c5d1520ca/gupshup-courtesy-gupshup,https://assets.ctfassets.net/1aemqu6a6t65/4Nx5rvek4bU4WlE7NJzwGR/99c76e403b10074c51c98d5c78b8fe01/Rest-Week_Brunch_menu_Summer_2023.pdf,https://www.gupshupnyc.com,Restaurants; Gramercy; Manhattan; New York City; Mastercard Offer; Large Print; Braille; Wheelchair Accessible; Halal; Asian American Owned; Indian; Vegetarian Options; Vegan Options; Gluten-Free; $$$; $$$$; Member Organization; Private Function Room(s); Outdoor Dining,Lunch_Price_45; Sunday_LunchBrunch_Price_45; Dinner_Price_60,"115 E. 18th St.,Manhattan,10003,NY",40.7368777,-73.98764
Shiraz Kitchen & Wine Bar,shiraz-kitchen-wine-bar,https://www.nyctourism.com/restaurant-week/shiraz-kitchen-wine-bar,http://images.ctfassets.net/1aemqu6a6t65/5pZhw1QmDzuX2IHbVOlTBF/ffbe446ee98831da38b162a943224ae7/shiraz_kitchen__wine_bar-flatiron-photo-courtesy-02,https://assets.ctfassets.net/1aemqu6a6t65/5wnNilnThvFreuqqOijv0m/ac72091355296a24aaf80abd4bb81510/PDFsam_merge.pdf,https://www.shirazkitchen.com,Restaurants; Chelsea; Manhattan; New York City; Mastercard Offer; Large Print; Wheelchair Accessible; Asian American Owned; Mediterranean; Vegetarian Options; Vegan Options; Gluten-Free; $$$$; Bar; Wine,Lunch_Price_30; Dinner_Price_60; Sunday_LunchBrunch_Price_30; Sunday_Dinner_45,"111 W. 17th St.,Manhattan,10011,NY",40.7397484,-73.9959804
One Fifth,one-fifth,https://www.nyctourism.com/restaurant-week/one-fifth,http://images.ctfassets.net/1aemqu6a6t65/5pZhw1QmDzuX2IHbVOlTBF/ffbe446ee98831da38b162a943224ae7/shiraz_kitchen__wine_bar-flatiron-photo-courtesy-02,https://assets.ctfassets.net/1aemqu6a6t65/4VXLAVqSLNHhoTJM0Ojuro/d42bdcf2502d2015a25eb648d7a3a759/Summer_RW_One_Fifth.pdf,https://www.onefifthnyc.com,Restaurants; Greenwich Village; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Italian; Vegetarian Options; Gluten-Free; $$$$,Dinner_Price_45; Sunday_LunchBrunch_Price_30; Sunday_Dinner_45,"1 Fifth Ave.,Manhattan,10003,NY",40.7316673,-73.996478
Aromi,aromi,https://www.nyctourism.com/restaurant-week/aromi,http://images.ctfassets.net/1aemqu6a6t65/3pLCtdcjknpyHU54wzF4OI/8a572509cf0f569e7bb2ae2dde774faf/Aromi-Brooklyn-NYC-Photo-Sarah-El-Gendi.jpg,https://assets.ctfassets.net/1aemqu6a6t65/EDb939FmopgvHUfMCERqC/0b1996ff31365281d499e014415355f3/restaurant_week_SUMMER_23_x_nycgoxx.pdf,https://www.arominyc.com,Restaurants; Carroll Gardens; Brooklyn; New York City; Mastercard Offer; Wheelchair Accessible; Italian; Pizza; Vegetarian Options; Vegan Options; Gluten-Free; $$$,Dinner_Price_45; Sunday_LunchBrunch_Price_45; Sunday_Dinner_45,"552 Court St.,Brooklyn,11231,NY",40.6750294,-73.9996712
Fish Cheeks,fish-cheeks,https://www.nyctourism.com/restaurant-week/fish-cheeks,http://images.ctfassets.net/1aemqu6a6t65/c7MQjt3P44RVf6zvyhbaq/784ae5854fe2ff9c1beae4bff4dcd02a/rw-to-go_fish_cheeks,https://assets.ctfassets.net/1aemqu6a6t65/6mouPvDXeBIfEZABZnd2CI/fff8e32eeb878e8ab745d186cb0a3969/PDFsam_merge.pdf,https://www.fishcheeksnyc.com,Restaurants; Noho; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Asian American Owned; Thai; Seafood; Vegetarian Options; Vegan Options; Gluten-Free; $$$$; Member Organization; Gift Cards Available; Outdoor Dining,Lunch_Price_45; Dinner_Price_60,"55 Bond St.,Manhattan,10012,NY",40.7257211,-73.9926674
Quality Eats—Upper East Side,quality-eats-upper-east-side,https://www.nyctourism.com/restaurant-week/quality-eats-upper-east-side,http://images.ctfassets.net/1aemqu6a6t65/x8Hbu0OmfNpF4MI0pPDzM/37054004514fdd48663051ab311200a2/rw-to-go_quality-eats-upper-east-side_e0f9b8b0-5056-a36f-23addbfbe3c08a1d-e0f9b7ba5056a36_e0f9b914-5056-a36f-237deb2e9a336442,https://assets.ctfassets.net/1aemqu6a6t65/6wWOFsF9vQbAtiO4fmtUjB/a4718a3a3c05f46d9b973ee60d8c540f/QE_WV_UES_RW_summer23_DINNER.pdf,https://www.qualityeats.com/locations/upper-east-side,Restaurants; Upper East Side; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Steakhouse; American (New); $$$$; Member Organization; Outdoor Dining,Dinner_Price_45; Sunday_Dinner_45,"1496 Second Ave.,Manhattan,10075,NY",40.7724573,-73.9553866
Cask Bar & Kitchen,cask-bar-kitchen,https://www.nyctourism.com/restaurant-week/cask-bar-kitchen,http://images.ctfassets.net/1aemqu6a6t65/1bwzFwHaXx8KN01yYZN0Zg/b76e47de04387f2a7c12a4c149ce4c14/Cask-Bar-and-Kitchen-Manhattan-NYC-Photo-Courtesy-Cask-Bar-and-Kitchen-_1.jpg,https://assets.ctfassets.net/1aemqu6a6t65/3HcKhK49FzYFISE4CErqbH/325fad933f80635213f91883727b10a0/PDFsam_merge.pdf,https://www.casknyc.com,Restaurants; Kips Bay; Manhattan; New York City; Mastercard Offer; Woman Owned; American (New); Vegetarian Options; $$$; Bar; Cocktails; Whiskey Bar; Beer,Lunch_Price_30; Dinner_Price_60; Sunday_Dinner_Price_60,"167 E. 33rd St.,Manhattan,10016,NY",40.7454136,-73.9789779
Petite Boucherie,petite-boucherie,https://www.nyctourism.com/restaurant-week/petite-boucherie,http://images.ctfassets.net/1aemqu6a6t65/v4xhgFU3civIeLM7ZUvqr/da71644459f638f8087818bf22c6329d/Petite-Boucherie-Manhattan-NYC-Photo-Melissa-Hom-and-Francesco-Sapienza.jpg,https://assets.ctfassets.net/1aemqu6a6t65/5x8CygeiER05kqWaal8jNP/230fdd697bcc5e78cdaa321404ac200a/PDFsam_merge.pdf,https://boucherie.nyc,Restaurants; West Village; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; French; $$$$; Member Organization; Gift Cards Available; Outdoor Dining,Lunch_Price_45; Dinner_Price_60,"14 Christopher St.,Manhattan,10014,NY",40.7338319,-74.0004287
Ootoya - Union Square,ootoya-union-square,https://www.nyctourism.com/restaurant-week/ootoya-union-square,http://images.ctfassets.net/1aemqu6a6t65/Q75EGjhdUvS5dUiq1p4vL/230656bdeb65a997c5aa2a2b998b7ec7/Ootoya-Manhattan-NYC-Photo-Courtesy-American-Ootoya-Inc-_1.jpg,https://assets.ctfassets.net/1aemqu6a6t65/6G122a7FwuUaY7sfNRfaYp/32dbc7cd546cf26202e7c42dc7a5fe11/Restaurant_Week_Menu_CH_US_2023_Summer__Dinner_.pdf,https://ootoya.us,Restaurants; Greenwich Village; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Asian American Owned; Japanese / Sushi; $$$; Member Organization,Lunch_Price_30; Dinner_Price_45; Sunday_LunchBrunch_Price_30; Sunday_Dinner_45,"41 E. 11th St.,Manhattan,10003,NY",40.7331803,-73.9927197
